timestamp,air_temperature
1655463600,31.71
1655467200,31.76
1655470800,32.005
1655474400,32.175
1655478000,31.8
1655481600,31.38
1655485200,30.225
1655488800,28.06
1655492400,23.27
1655496000,20.615
1655499600,20.745
1655503200,20.8
1655506800,20.905
1655510400,19.275
1655514000,17.775
1655517600,18.25
1655521200,17.405
1655524800,17.965
1655528400,21.255
1655532000,24.53
1655535600,27.49
1655539200,28.36
1655542800,29.25
1655546400,29.66
1655550000,29.99
1655553600,30.55
1655557200,30.74
1655560800,30.52
1655564400,30.46
1655568000,29.965
1655571600,29.005
1655575200,26.87
1655578800,21.505
1655582400,19.4
1655586000,19.34
1655589600,18.86
1655593200,18.105
1655596800,17.445
1655600400,16.84
1655604000,16.55
1655607600,16.16
1655611200,17.08
1655614800,20.395
1655618400,23.75
1655622000,28.14
1655625600,29.53
1655629200,30.075
1655632800,30.535
1655636400,31
1655640000,31.21
1655643600,31.6
1655647200,31.325
1655650800,30.575
1655654400,29.605
1655658000,28.865
1655661600,26.735
1655665200,22.31
1655668800,19.95
1655672400,20.725
1655676000,20.17
1655679600,19.55
1655683200,20.7
1655686800,21.26
1655690400,20.36
1655694000,19.52
1655697600,21.635
1655701200,25.11
1655704800,27.795
1655708400,30.99
1655712000,32.205
1655715600,32.8
1655719200,33.24
1655722800,33.77
1655726400,34.775
1655730000,35.005
1655733600,35.04
1655737200,34.77
1655740800,33.715
1655744400,32.11
1655748000,29.815
1655751600,28.26
1655755200,27.445
1655758800,26.9
1655762400,26.6
1655766000,26.165
1655769600,25.76
1655773200,25.7
1655776800,25.005
1655780400,23.33
1655784000,22.235
1655787600,24.415
1655791200,28.86
1655794800,30.58
1655798400,31.235
1655802000,32.285
1655805600,33.385
1655809200,34.225
1655812800,35.165
1655816400,36.095
1655820000,36.015
1655823600,35.64
1655827200,34.615
1655830800,32.48
1655834400,30.38
1655838000,29.465
1655841600,28.235
1655845200,26.785
1655848800,27.325
1655852400,25.535
1655856000,21.44
1655859600,19.89
1655863200,20.7
1655866800,21.45
1655870400,22.32
1655874000,23.15
1655877600,24.025
1655881200,27.6
1655884800,29.665
1655888400,32.01
1655892000,31.44
1655895600,33.29
1655899200,32.98
1655902800,33.93
1655906400,32.34
1655910000,30.91
1655913600,30.07
1655917200,29.69
1655920800,29.39
1655924400,24.65
1655928000,24.32
1655931600,25.71
1655935200,21.965
1655938800,23.565
1655942400,22.825
1655946000,22.48
1655949600,20.71
1655953200,20.38
1655956800,19.69
1655960400,22.37
1655964000,27.62
1655967600,28.73
1655971200,29.89
1655974800,31.32
1655978400,32.95
1655982000,33.86
1655985600,31.94
1655989200,28.48
1655992800,29.1
1655996400,27.91
1656000000,29.85
1656003600,30.9
1656007200,29.09
1656010800,27.4
1656014400,24.59
1656018000,22.54
1656021600,21.45
1656025200,20.79
1656028800,22.95
1656032400,23.16
1656036000,23.55
1656039600,21.15
1656043200,21.14
1656046800,25.12
1656050400,27.51
1656054000,28.52
1656057600,29.36
1656061200,30.15
1656064800,31.31
1656068400,31.77
1656072000,33.25
1656075600,33.94
1656079200,34.09
1656082800,33.88
1656086400,33.035
1656090000,32.3
1656093600,30.63
1656097200,26.76
1656100800,25.36
1656104400,24.67
1656108000,24.315
1656111600,23.16
1656115200,22.015
1656118800,20.54
1656122400,19.99
1656126000,18.74
1656129600,18.97
1656133200,20.1
1656136800,25.75
1656140400,26.9
1656144000,29.04
1656147600,29.73
1656151200,31.63
1656154800,32.67
1656158400,32.4
1656162000,33.81
1656165600,33.8
1656169200,33.64
1656172800,33.7
1656176400,32.67
1656180000,30.57
1656183600,27.42
1656187200,26.13
1656190800,25.49
1656194400,24.97
1656198000,23.27
1656201600,21.1
1656205200,20.32
1656208800,19.96
1656212400,18.73
1656216000,19.35
1656219600,23.52
1656223200,27.2
1656226800,30.07
1656230400,30.23
1656234000,30.79
1656237600,31.68
1656241200,32.77
1656244800,33.23
1656248400,33.25
1656252000,32.97
1656255600,32.665
1656259200,32.035
1656262800,30.655
1656266400,28.435
1656270000,24.375
1656273600,21.93
1656277200,22.005
1656280800,21.79
1656284400,21.85
1656288000,22.15
1656291600,21.995
1656295200,21.51
1656298800,21.09
1656302400,21.035
1656306000,23.635
1656309600,26.56
1656313200,30.015
1656316800,30.525
1656320400,31.665
1656324000,32.915
1656327600,34.405
1656331200,33.97
1656334800,34.68
1656338400,34.645
1656342000,34.795
1656345600,34.03
1656349200,32.495
1656352800,30.005
1656356400,25.94
1656360000,22.925
1656363600,22.08
1656367200,21.305
1656370800,20.4
1656374400,20.845
1656378000,19.835
1656381600,19.305
1656385200,19.305
1656388800,19.93
1656392400,22.765
1656396000,24.72
1656399600,25.795
1656403200,25.575
1656406800,25.96
1656410400,27.39
1656414000,27.715
1656417600,28.76
1656421200,27.015
1656424800,26.065
1656428400,24.965
1656432000,24.275
1656435600,24.085
1656439200,23.45
1656442800,22.93
1656446400,22.54
1656450000,21.94
1656453600,21.61
1656457200,21.815
1656460800,22.115
1656464400,21.345
1656468000,20.895
1656471600,20.645
1656475200,20.725
1656478800,25.305
1656482400,26.29
1656486000,25.615
1656489600,24.625
1656493200,25.755
1656496800,27.75
1656500400,29.91
1656504000,31.935
1656507600,32.43
1656511200,31.955
1656514800,30.67
1656518400,31.19
1656522000,29.99
1656525600,28.38
1656529200,26.395
1656532800,25.44
1656536400,24.575
1656540000,24.075
1656543600,23.515
1656547200,22.075
1656550800,20.425
1656554400,20.51
1656558000,20.79
1656561600,20.26
1656565200,24.865
1656568800,27.87
1656572400,29.285
1656576000,30.07
1656579600,31.18
1656583200,32.24
1656586800,33.05
1656590400,35.195
1656594000,36
1656597600,35.84
1656601200,32.935
1656604800,32.21
1656608400,31.325
1656612000,29.395
1656615600,22.915
1656619200,20.485
1656622800,18.77
1656626400,17.775
1656630000,18.665
1656633600,20.275
1656637200,19.38
1656640800,19.38
1656644400,18.815
1656648000,18.655
1656651600,22.71
1656655200,27.375
1656658800,30.275
1656662400,31.705
1656666000,33.745
1656669600,35.035
1656673200,34.715
1656676800,35.185
1656680400,35.845
1656684000,36.075
1656687600,35.41
1656691200,34.92
1656694800,33.845
1656698400,31.33
1656702000,27.385
1656705600,25.82
1656709200,26.195
1656712800,24.645
1656716400,23.475
1656720000,22.685
1656723600,22.035
1656727200,20.88
1656730800,20.25
1656734400,20.14
1656738000,23.03
1656741600,26.43
1656745200,28.67
1656748800,29.735
1656752400,30.495
1656756000,31.29
1656759600,32.41
1656763200,33.44
1656766800,34.355
1656770400,34.645
1656774000,34.905
1656777600,33.18
1656781200,31.88
1656784800,29.155
1656788400,24.755
1656792000,23.02
1656795600,23.525
1656799200,23.43
1656802800,22.71
1656806400,22.215
1656810000,21.49
1656813600,20.995
1656817200,20.64
1656820800,21.33
1656824400,24.77
1656828000,27.2
1656831600,30.65
1656835200,32.13
1656838800,32.565
1656842400,34.025
1656846000,35.135
1656849600,35.84
1656853200,36.055
1656856800,36.435
1656860400,36.195
1656864000,35.025
1656867600,34.105
1656871200,31.275
1656874800,25.135
1656878400,23.475
1656882000,24.255
1656885600,24.19
1656889200,23.56
1656892800,23.08
1656896400,22.815
1656900000,22.42
1656903600,22.165
1656907200,22.37
1656910800,25.545
1656914400,28.48
1656918000,31.835
1656921600,32.195
1656925200,33.57
1656928800,34.94
1656932400,35.69
1656936000,34.895
1656939600,36.675
1656943200,36.005
1656946800,35.435
1656950400,35.585
1656954000,33.385
1656957600,30.275
1656961200,27.125
1656964800,24.25
1656968400,23.31
1656972000,21.405
1656975600,21.76
1656979200,21.82
1656982800,21.135
1656986400,20.695
1656990000,18.36
1656993600,18.98
1656997200,22.775
1657000800,26.065
1657004400,30.155
1657008000,31.84
1657011600,31.215
1657015200,32.025
1657018800,33.13
1657022400,34.285
1657026000,34.74
1657029600,35.055
1657033200,35.06
1657036800,34.695
1657040400,35.05
1657044000,31.8
1657047600,26.96
1657051200,24.19
1657054800,23.735
